id,dt,age,platform,state_id,monthly_cost,commission_rate,gender,session_time,membership_level,household_income,has_sale
5289,2023-02-01,18,desktop,10,172.34,0.1,M,674,Bronze,20021.46,0
2016,2023-02-14,43,mobile,13,158.91,0.1,M,683,Silver,24210.2,0
5929,2023-02-06,53,mobile,34,201.47,0.1,M,374,Bronze,40757.28,0
6986,2023-02-13,38,mobile,9,168.52,0.1,M,2759,Silver,13583.25,0
5796,2023-02-12,30,desktop,13,230.37,0.1,M,2701,Bronze,23415.93,0
5559,2023-01-05,35,mobile,13,169.8,0.1,M,1290,Bronze,28390.7,0
9217,2023-01-28,24,mobile,0,211.26,0.1,F,2811,Bronze,10000.0,0
9586,2023-01-14,44,mobile,36,212.44,0.1,F,965,,12754.53,0
521,2023-01-05,43,,24,162.55,0.1,F,1969,Silver,10000.0,0
5331,2023-01-06,31,desktop,45,176.36,0.1,M,2374,Bronze,17978.91,0
1735,2023-01-22,36,mobile,13,122.54,0.1,M,3298,Gold,20467.72,0
5990,2023-01-18,26,mobile,49,200.26,0.1,M,1104,Bronze,13129.38,0
8589,2023-01-10,20,mobile,39,147.56,0.1,M,1668,Bronze,19007.01,0
8101,2023-01-10,35,mobile,27,207.74,0.1,M,421,Silver,10000.0,0
8319,2023-01-17,26,desktop,15,196.66,0.1,M,1988,Bronze,38658.18,0
4087,2023-02-12,37,mobile,32,172.32,0.1,F,2534,,38300.25,0
9087,2023-02-10,43,mobile,13,147.35,0.1,F,1221,Platinum,25242.67,0
7823,2023-01-29,27,mobile,7,172.79,0.1,F,725,Bronze,18583.59,0
7677,2023-01-14,50,mobile,14,196.63,0.1,M,3300,Silver,10914.16,0
6125,2023-01-31,28,mobile,44,170.65,0.1,M,2997,,16057.54,0
863,2023-01-15,34,mobile,13,166.07,0.1,M,3452,Silver,28393.21,0
9757,2023-02-07,18,,24,159.45,0.1,M,315,Silver,25414.79,0
9605,2023-01-03,32,desktop,25,182.75,0.1,M,1008,Bronze,35025.19,1
2719,2023-02-13,28,mobile,13,83.16,0.1,F,2460,Silver,49489.22,0
5575,2023-01-05,29,,2,212.12,0.1,M,448,,10000.0,0
5297,2023-01-15,19,desktop,31,188.8,0.1,M,3379,Gold,35753.92,0
1188,2023-02-02,38,desktop,34,110.94,0.1,M,1995,Silver,12609.55,1
3919,2023-01-15,53,mobile,36,171.3,0.1,F,652,,22081.85,0
1556,2023-02-02,26,mobile,42,90.65,0.1,M,2495,Silver,27342.32,0
9265,2023-01-09,18,,45,200.36,0.1,M,157,Bronze,30551.93,0
514,2023-01-20,29,,36,88.21,0.1,M,2984,Bronze,14437.99,1
552,2023-01-10,50,mobile,9,49.87,0.1,F,44,Silver,11127.32,1
8918,2023-02-10,32,mobile,13,167.67,0.1,M,3010,Gold,23037.23,0
3820,2023-02-09,33,desktop,13,198.84,0.1,M,3384,Silver,26255.42,0
8563,2023-01-08,38,mobile,13,185.7,0.1,F,965,Silver,11786.81,0
2259,2023-01-16,45,mobile,36,114.37,0.1,F,455,Silver,25048.08,0
6375,2023-02-08,39,mobile,13,171.11,0.1,F,2065,Silver,43767.1,0
9747,2023-01-07,38,desktop,40,172.2,0.1,M,1156,Bronze,27517.87,0
9352,2023-01-30,65,desktop,49,131.26,0.1,F,2555,Gold,42390.73,0
7563,2023-01-13,40,mobile,7,169.39,0.1,F,1113,Silver,12524.9,1
3011,2023-02-12,30,mobile,10,125.85,0.1,M,1575,,27550.19,0
3171,2023-01-04,35,desktop,39,109.63,0.1,M,231,Bronze,30696.45,0
9507,2023-02-01,30,desktop,13,159.8,0.1,M,677,Bronze,29634.84,1
5098,2023-01-25,42,mobile,36,168.5,0.1,F,3244,Bronze,37609.43,0
8698,2023-02-10,41,,27,181.62,0.1,M,190,Gold,16226.2,0
9540,2023-02-06,18,desktop,36,188.9,0.1,M,2540,Platinum,33676.59,0
7961,2023-01-19,41,mobile,36,169.34,0.1,M,905,Gold,20395.17,0
5632,2023-02-10,30,desktop,12,205.81,0.1,F,1893,Bronze,21318.83,1
215,2023-01-17,34,desktop,1,112.23,0.1,F,3313,Silver,23380.68,1
4017,2023-01-12,24,mobile,12,140.85,0.1,M,157,Bronze,10000.0,0
3659,2023-01-20,30,mobile,8,198.98,0.1,M,3529,Gold,23370.84,1
4096,2023-01-26,27,mobile,13,182.87,0.1,M,338,Bronze,15705.12,0
6228,2023-01-22,37,mobile,12,157.58,0.1,M,3187,Bronze,37998.68,0
1940,2023-01-26,18,mobile,5,111.96,0.1,M,1297,Bronze,13860.77,0
3357,2023-01-28,26,desktop,36,199.44,0.1,M,2794,Silver,12368.82,0
3028,2023-01-26,28,mobile,8,74.07,0.1,M,3126,,10000.0,0
5570,2023-01-04,48,mobile,36,198.9,0.1,M,1661,Bronze,39771.96,0
5330,2023-01-09,37,mobile,12,206.11,0.1,M,3377,Bronze,18799.91,0
3737,2023-02-10,36,mobile,0,156.64,0.1,F,1420,Silver,21072.88,0
6841,2023-02-01,52,mobile,50,184.13,0.1,M,2723,Gold,33469.09,0
3503,2023-01-20,33,mobile,49,162.83,0.1,M,1459,,17948.31,0
7377,2023-01-30,37,desktop,0,182.39,0.1,M,3124,,40730.12,0
7966,2023-01-16,18,desktop,38,172.93,0.1,M,709,Bronze,26095.43,0
6024,2023-01-08,36,desktop,44,163.3,0.1,F,899,Bronze,10000.0,0
8060,2023-01-15,42,desktop,12,156.56,0.1,F,478,Silver,14335.55,1
7570,2023-02-09,38,mobile,49,170.85,0.1,F,3044,Gold,11308.58,1
1135,2023-02-02,43,mobile,33,106.58,0.1,M,2024,Bronze,24688.88,0
405,2023-02-03,56,mobile,45,104.77,0.1,F,1637,Silver,23028.4,0
8016,2023-01-07,53,mobile,13,181.66,0.1,F,3214,Silver,43870.32,0
8639,2023-01-26,43,desktop,45,178.87,0.1,F,611,Bronze,67576.8,1
8113,2023-01-13,37,mobile,17,192.01,0.1,M,3141,Silver,10000.0,0
8028,2023-02-06,33,mobile,49,142.63,0.1,M,3060,Bronze,21952.25,0
7729,2023-01-04,22,mobile,12,173.83,0.1,M,156,Silver,21830.5,0
3303,2023-01-17,24,mobile,20,164.15,0.1,M,1940,Bronze,45114.82,0
3138,2023-01-28,18,mobile,47,160.49,0.1,M,546,Bronze,17936.98,0
7979,2023-02-11,44,mobile,12,157.84,0.1,F,3359,Silver,23468.0,0
19,2023-01-28,31,mobile,36,198.06,0.1,M,2337,Bronze,21690.73,0
1956,2023-02-01,19,mobile,45,114.13,0.1,M,2877,Bronze,10000.0,0
1010,2023-01-21,25,mobile,49,120.98,0.1,M,243,Silver,11214.96,0
8897,2023-01-05,27,desktop,36,149.71,0.1,M,1594,Silver,31222.04,0
1239,2023-01-26,29,mobile,8,181.55,0.1,M,2396,Bronze,30185.12,0
6187,2023-01-23,39,desktop,12,184.36,0.1,F,1972,,10000.0,0
988,2023-01-07,18,mobile,41,146.76,0.1,M,1116,Gold,11939.52,0
2262,2023-01-14,41,desktop,24,69.42,0.1,F,876,Silver,19607.83,1
9297,2023-01-21,18,desktop,11,220.22,0.1,M,1951,Bronze,12909.44,1
2932,2023-01-15,48,mobile,50,100.19,0.1,F,566,Bronze,50014.32,0
2891,2023-01-30,27,mobile,27,118.95,0.1,M,3033,,16231.02,0
4207,2023-01-02,23,mobile,49,182.31,0.1,F,2626,Bronze,23911.53,0
8302,2023-01-17,29,desktop,49,201.02,0.1,M,271,Bronze,10161.17,0
3172,2023-01-24,30,mobile,13,94.04,0.1,M,1505,Silver,40456.63,0
342,2023-02-06,37,mobile,12,97.93,0.1,M,2247,Silver,23245.81,1
6145,2023-01-14,35,,12,172.6,0.1,M,2243,Silver,31160.62,1
8435,2023-01-01,34,mobile,13,148.6,0.1,F,2191,Platinum,25356.77,0
3684,2023-01-24,18,mobile,7,165.27,0.1,M,2495,Bronze,17749.99,0
202,2023-02-14,33,mobile,36,140.31,0.1,M,924,Bronze,19681.02,0
9184,2023-01-07,18,,24,155.59,0.1,M,3107,Bronze,32214.3,0
1546,2023-01-02,36,mobile,13,81.82,0.1,M,2248,Silver,10152.39,0
2885,2023-01-04,18,mobile,6,161.05,0.1,M,418,Bronze,19421.62,0
5422,2023-01-27,30,,16,159.61,0.1,M,1675,Bronze,17718.2,0
4814,2023-01-06,48,mobile,20,202.49,0.1,M,619,Bronze,29597.12,0
2667,2023-01-02,32,desktop,35,108.84,0.1,F,3112,Silver,14668.67,1
8489,2023-02-06,41,mobile,12,157.76,0.1,M,2546,Silver,36241.3,0
6021,2023-02-03,25,mobile,27,183.88,0.1,M,3423,Bronze,13559.76,0
2420,2023-01-03,44,mobile,13,187.64,0.1,M,2948,Silver,35178.02,0
1191,2023-01-07,45,desktop,40,73.49,0.1,F,709,Gold,24146.03,0
1464,2023-01-06,37,mobile,40,77.16,0.1,M,2838,Gold,19321.36,1
426,2023-01-08,23,mobile,19,158.1,0.1,M,355,Silver,35685.28,0
5561,2023-01-13,30,mobile,36,177.08,0.1,M,3041,Silver,34056.14,0
5904,2023-01-04,38,mobile,29,179.71,0.1,M,2015,Bronze,32721.99,0
5834,2023-01-24,50,mobile,13,190.52,0.1,F,1239,Silver,19591.09,0
1173,2023-01-02,42,mobile,19,57.91,0.1,M,3149,Silver,39150.27,0
6912,2023-02-06,18,desktop,15,149.1,0.1,M,242,Silver,10000.0,0
7538,2023-01-03,25,,49,163.89,0.1,F,538,Bronze,16565.35,0
6987,2023-02-07,44,mobile,23,184.22,0.1,F,408,Bronze,10000.0,0
8052,2023-01-21,27,mobile,21,164.01,0.1,F,208,Bronze,52485.2,0
5494,2023-02-13,38,desktop,21,177.52,0.1,M,3254,Bronze,37218.44,0
1794,2023-01-26,33,mobile,39,139.04,0.1,M,2069,Silver,13116.48,0
4470,2023-01-10,61,,18,184.7,0.1,F,3509,Silver,11132.28,0
9783,2023-02-11,28,desktop,32,211.83,0.1,M,3142,Bronze,19052.59,0
6824,2023-01-23,18,mobile,36,199.91,0.1,M,2867,,47993.86,0
5716,2023-01-27,34,,14,199.73,0.1,F,1138,Gold,15065.57,0
4282,2023-01-21,38,,13,190.27,0.1,F,610,Bronze,14139.74,0
2578,2023-01-27,30,mobile,12,179.45,0.1,F,2621,Silver,15156.73,1
509,2023-01-27,28,mobile,13,43.09,0.1,F,2692,Bronze,17018.4,0
818,2023-01-11,47,mobile,13,112.24,0.1,M,3516,Silver,13144.52,0
2978,2023-01-11,37,mobile,40,72.95,0.1,M,102,Gold,25310.56,1
2007,2023-01-30,28,mobile,28,111.26,0.1,F,3575,Bronze,14729.76,0
1938,2023-01-17,34,,16,69.0,0.1,F,730,Silver,22903.92,0
897,2023-01-30,27,mobile,44,108.15,0.1,M,2369,,10000.0,0
2524,2023-01-04,33,mobile,44,230.48,0.1,M,1359,Bronze,18931.21,0
9384,2023-01-18,38,,12,189.39,0.1,F,183,Gold,21182.06,1
5449,2023-01-07,43,mobile,8,142.94,0.1,F,3042,Silver,20032.59,1
717,2023-01-23,24,mobile,14,94.1,0.1,M,768,Gold,13910.48,0
7221,2023-02-06,46,desktop,28,190.52,0.1,M,2194,Bronze,17157.52,0
5172,2023-01-24,40,mobile,13,159.81,0.1,M,1285,Bronze,23775.02,1
1233,2023-01-27,35,desktop,10,144.93,0.1,M,775,Bronze,22170.73,0
5965,2023-01-13,24,,4,162.57,0.1,M,1568,Bronze,13360.86,0
2572,2023-02-05,41,desktop,49,104.33,0.1,M,3534,Bronze,32099.69,0
9245,2023-02-06,27,mobile,12,182.17,0.1,M,629,Gold,38282.23,1
8862,2023-01-02,36,mobile,13,173.8,0.1,F,3547,Bronze,24959.25,0
7932,2023-01-14,24,desktop,5,170.7,0.1,M,3474,Bronze,33433.8,0
8628,2023-02-06,31,mobile,36,205.33,0.1,F,254,Bronze,30666.47,0
3815,2023-01-03,55,mobile,12,190.21,0.1,F,3056,Platinum,10000.0,0
2349,2023-01-01,30,mobile,13,139.36,0.1,M,283,Silver,15462.33,0
1434,2023-01-08,43,mobile,13,127.56,0.1,M,397,,14783.52,0
3833,2023-01-03,45,desktop,13,188.52,0.1,F,1305,Bronze,15562.84,1
3969,2023-01-01,18,,3,205.64,0.1,M,2724,Silver,28869.33,0
2296,2023-01-04,22,mobile,49,165.05,0.1,M,1524,Bronze,23102.34,0
619,2023-02-04,32,mobile,13,143.98,0.1,F,3464,Bronze,16160.34,0
4743,2023-02-01,40,mobile,12,200.04,0.1,F,2874,Gold,46402.99,1
